Id,Job Posting Title,Job Description,Primary Recruiter,Hiring Manager,Division,Job Family Group,Job Family,Job Profile,Region,Country,Primary Location,Date First Posted,Salary,inflation_rate,unemployment_rate,Time to fill
0,Technology Implementation consultant,"Your responsibilities

Be responsible for the installation and upgrades of WKFS solutions for our customers.
Integration of WKFS solutions with multiple third-party and in-house applications.
Participate on international implementation projects. Full availability to travel is therefore essential.
Be responsible for the support, maintenance and quality assurance of implemented software.
Become familiar with existing WKFS products, tools, and regulatory reporting requirements
Maintain and develop bank specific interfaces together with customers to cover both changes in regulatory reporting requirements and changes in bank
Troubleshoots customer environmental issues related to network, security, performance, database or other issues
Configure environments for internal testing purposes
Provide technical analysis and requirements’ definition for technical components related to specific client
Define HW&SW requirements based on client’s requirements
Provide trainings and workshops for clients and internally
Write and maintain documentation to describe developments, coding, testing results, administration guide, other
Provide regular status reports including progress towards specific project milestones.
Provide on-site and telephone support for clients' technical requests and queries
Qualifications and Skillset
Education:

Bachelor degree (or higher) in computer science or related field.

Essential:

Minimum 3 years previous working experience in the software implementation and operations
Experience in Java programming
Knowledge of Visual Basic Scripting Edition
Solid understanding of Relational Databases and advanced knowledge of Oracle and/or MS SQL Server
Strong knowledge of SQL and PL/SQL or TSQL
Batch scripting in operating systems: Windows Server 2003 and greater, Linux/Unix
Knowledge of application servers like: JBOSS, Tomcat, WebSphere others
Good communication skills
Pragmatic programming approach
Fluency in Polish and English, written and oral

Desirable:

Projects experience will be an asset
Fluency in other European languages will be an asset
Certifications in IT area will be an asset

Personal Traits

Company and customer loyalty
Open, Clear and transparent communication (written and oral) and interpersonal skills
Team player
Must have analytical and problem-solving skills, pragmatic thinker
Willingness to learn
Hard-worker
Readiness to travel up to 50% within EMEA region
Strong problem solving skills.
Readiness to work together in a multicultural organization",201,90,4,Consulting/Professional Services,Technology Implementation Consulting,396,EMEA,Poland,POL-Warsaw-Przyokopowa,2019-12-30 00:00:00,4,3.4,3,133
1,Senior Data Scientist,"About Wolters Kluwer
Wolters Kluwer is a global leader in professional information services. Professionals in the areas of legal, business, tax, accounting, finance, audit, risk, compliance and healthcare rely on Wolters Kluwer's market leading information-enabled tools and software solutions to manage their business efficiently, deliver results to their clients, and succeed in an ever more dynamic world.  Wolters Kluwer combines deep domain knowledge with specialized technology. Our portfolio offers software tools coupled with content and services that customers need to make decisions with confidence. Every day, our customers make critical decisions to help save lives, improve the way we do business, build better judicial and regulatory systems. We help them get it right!



The Sr. Data Scientist collaborates with other scientists, architects, engineers and the business teams to understand artificial intelligence needs and translate them into solutions. Provides solutions using Artificial Intelligence to improve business performance, decision making and customer offerings. Develops advanced predictive models and machine learning models using Python, Spark ML, R and other tools. Drives the work on big data technologies and optimizes machine learning models accordingly. Leads projects responsible for operationalizing machine learning models into business applications. Provides guidance, coaching and assignments to lower level Data Scientists and others.
Teams with other scientists, IT architects, engineers and business teams to identify business improvement opportunities and drive business problem resolution.
Gathers and analyzes information, design and code data process and build advanced predictive analytical models, formulate and test hypotheses, manage recommendation development and communication.
Designs, develops, tests and implements advanced machine learning models using advanced technologies (i.e. Python, Spark ML and R and other tools).   Independently designs and codes data processes and builds predictive analytical models, formulate and test hypotheses, contributes to the development and communication of recommendations.
Designs and develops solutions to integrate with existing applications.
Leads team members to develop solutions using Big Data technologies.  Independently perform implementation and maintenance of developed machine learning models in test and production environments.
Independently operationalize developed Machine Learning Models in test and production environments.
Drive positive results in applying machine learning models into production environment
Participate in continuous process improvement initiatives by working across technical teams to enhance the systems, processes and controls, e.g., methods, standards, capabilities
Perform advanced ad-hoc descriptive analysis based on business needs and provide key data insights
Provides guidance to lower level Data Scientists and may act as lead on small to medium sized projects
Proactively pursues professional development activities (e.g., establishing personal networks, continuous knowledge enhancement through achievement of certifications, etc.)
Manages time and company resources appropriately. Performs other duties as requested by his/her supervisor



Bachelor’s degree required, Master's degree preferred.  Preferably in Data Science, Computer Science, Mathematics, Economics, Statistics, Engineering, or equivalent related experience.  Masters or Ph.D preferred.
Minimum 7 years of experience in hands-on advanced data analysis and in developing Machine learning models
Experience with Deep Learning using Neural Network
Exceptional analytical and quantitative problem-solving skills
Advanced knowledge of advanced technology classification models (i.e. SVM, Naïve Bayes, Random Forest, Decision Tree, etc.)
Ability to work independently or collaboratively within a team
Ability to work under tight timeline and have a results-oriented attitude
Has a high energy, results-oriented attitude; ability to work under tight timelines
Very strong oral and written communication
Hands-on coding experience with data ETL and data modeling tools such as Informatica, SAS, or other open source tools and packages
Expert level with databases and data warehouses (i.e. SAP, SQL, Oracle, DB2.)
Advanced understanding of data sources and extraction methodologies
Expertise in using Microsoft Office suite (Excel, Word, PowerPoint, Outlook)
Advanced hands-on coding experience with data ETL and data modeling tools (i.e. Informatica, SAS, or other open source tools and packages.)
Experience with Big Data Technologies (i.e Hadoop, Spark, MapReduce, etc.)  
Ability to work on distributed environment to parallelize the code
Understanding of Agile methodologies for rapid development
Ability to visualize data and communicate story",147,999,4,Business Analytics,Data Science,140,APAC,India,IND-Pune-Kalyani Nagar,2020-02-26 00:00:00,6,6.840391,8,67
2,Senior Software Test Automation Engineer,"Design and implementation of the test automation strategy for multiple product development teams. Assist in doing code reviews.
Mentor and coach technical team members.
Hands-on contributor to build and enhance solutions to complex technical problems advancing test automation, continuous testing and continuous integration capabilities for product development teams.
Ability to create scripts beyond record and playback. Specifically developing functions, adding control flow logic, loops etc. This code must be reusable, maintainable code.
Work side-by-side with developers and functional testers to create test specifications from user stories and transform selected tests into an automated test suite.
Translating existing manual regression test cases into automated tests.
Building and executing tests to run on multiple environments using multiple browsers.
Analyzing existing systems to find areas for improvement.
Evolving automated test framework to achieve higher test throughout, with increased accessibility and test execution flexibility.
Perform other non-specified tasks as assigned.
Essential Qualifications:
Bachelor’s degree or equivalent work experience.
6+ years of development/ test automation experience, preferably with complex web applications.
Advanced technical troubleshooting, diagnosing and problem solving skills.
Strong test automation skills – Java, C#, etc.
Proficiency in .NET and J2EE technology platforms.
Experience with SQL programming and database technologies.
Understanding of SaaS infrastructure and components (RDBMS, Web and Application Servers, Queues, Caching, etc.)
Proficiency using MS Office productivity packages – Word, Excel, and Outlook.
Demonstrated experience with Web Browser Technologies, e.g. HTML, HTTP
Solid understanding of object oriented programming, design and debugging skills.
Proven experience developing automated test framework, e.g. Visual Studio’s coded UI, unit tests.
Must be self-motivated and take initiative in performing tasks and growing skills and knowledge.

Preferred Qualifications: 
Working knowledge of Azure Dev Ops.
Familiarity with software build and delivery process.
Familiarity with Continuous Integration concepts and processes.
Knowledge of Typescript would be good to have.
Agile Software Development.


Job Level:
T3",175,1219,7,Technology,Software Test Automation,378,APAC,India,IND-Pune-IndiQube Orchid,2021-12-16 00:00:00,6,5.555555,6,294
3,Client Trainer / Customer Success Specialist,"An excellent permanent opportunity within the Customer Success Team of our Health, Learning, Research and Practice division. This role would be ideal for an experienced Trainer/Consultant (preferably with experience gained within the Library Sciences, Medical technology/information industry sector).  

Reporting into the Manager, Customer Success for EMEA and working in close co-operation with the EMEA Associate Sales Directors and Sales Managers the Trainer/Customer Success Specialist will provide high-quality training (i.e. learning that focusses on using the product for specific purposes, traditional training, coaching, short form updates and learning on key features, long format learning on more complex use cases or features, tech sessions, etc.) and high level technical pre- and post-sales assistance.
He/she is ideally based in one of our European offices, i.e. either in London, Alphen (Amsterdam) or Berlin. However, other locations within Europe are also possible and can be discussed.

Responsibilities
Plan and manage the running of training courses on all relevant products for a wide range of users (both internal and external)

Maintain a high NPS as well as high response rates (survey/feedback)

Manage the production of tailor-made course material, which will disseminate product knowledge to all trainees. This training course material will be designed specifically for each course to facilitate the trainees.

Support self-service initiatives by contributing content for customer-facing and internal knowledgebases

Provide technical support to customers in both pre- and post-sales efforts

Maintain a deep technical understanding of Wolters Kluwer’s Ovid platform and other products and technology

Perform implementations (e.g. optimizing configuration) and integration projects (e.g. linking or authentication)

Work with the local sales managers to retain current customers via timely and proactive renewal procedures and implementation audits

Provide technical services/projects for customers

Technical account management for selected key-accounts for the Academic, Medical and Corporate markets

Manage the information flow from customers and partners, ensuring that bugs and enhancements are communicated to all concerned and fixed appropriately. Assist in the maintenance of and input to FAQs for software issues and bugs.

Assist in product training and orientation for new hires

Move from reactive support to proactive success

Onboarding – Nurturing – Renewing & Upselling

Requirements
University degree or equivalent, and/or degree level in Library Sciences

Fluent English is a must have plus a second language (Dutch, German and/or Eastern European languages) desirable

3-5+ years of relevant experience

Software/product training experience within publishing or academia (Library Sciences, Medical technology/information, etc.)

SFDC experience desirable

Well organized self-starter, with the ability to quickly adapt to the changes and challenges in a very dynamic environment

Excellent presentation, communication, persuasive skills and customer facing skills – must recognize the importance of our service to the customer’s business

Excellent organizational, project management, and time management skills

Articulate, well presented and comfortable in front of customers, peers and executive teams

General knowledge of Internet and network technologies and protocols. Ideally including knowledge of: FTP, Telnet, basic UNIX commands, authentication methods, and Firewalls

Prepared to travel regularly within Europe (up to 40% depending on time of year and health/gov’t guidelines)

Our Offer
We offer you a position in a team-based, international, leading organization in the health information business arena where you will find straightforward communication, a fast-paced work environment with challenging projects, and a competitive salary package. 

Apply
If this sounds like an interesting job to you then please apply - simply by clicking on the apply button!

Contact person
Herbert Bakels
Senior International Recruiter
M +31 6 10021644",66,575,5,Consulting/Professional Services,Client Training,72,EMEA,Netherlands,NLD-Alphen Aan Den Rijn-Zuidpoolsingel,2021-01-06 00:00:00,5,1.557045,4.7,131
4,Manager Service and Support Norway,"Manager Service and Support Norway 
We are now hiring an exciting role as Manager Service and Support in Norway.
Overall objective of this role is to successfully lead the Service and Support team in Norway and to deliver an extraordinary customer experience to our Norwegian customers.
The role reports to the head of Service and Support for Scandinavia and represents Norway Service and Support in the Norway management team and the Scandinavian Service and Support management team. 
The role is based in our Oslo office.

Key accountabilities:

Successfully lead the team of Support colleagues and Product Specialists through their daily responsibilities (including coaching, performance management, escalation handling, and workload distribution).

The person is expected to work hands-on in the team as required.

Decide areas of prioritization for the team depending on seasonality and overall organisational focus.

Drive a strong, data-based, performance culture within the team.

Drive a shift to proactive self-service support enabling high value and reducing effort for both our customers and us generating in an improvement of NPS.

Own and drive continuous improvement initiatives for Service and Support in Norway, and Scandinavia when applicable.

Be part of designing and execute efficient services processes in order to improve the customer experience throughout the customer journey.

Develop and maintain a culture with an agile mindset that fosters high colleague engagement, trust, collaboration within and between teams, empower people and developing skills and knowledge.

Ensuring a continuous focus on driving improved productivity and efficiency while also delivering successfully on the agreed KPIs

Play an active part in the both the Norwegian Management Team, and the Scandinavian Service and Support Management Team


We believe the right candidate have:

Previous experience as a manager, or project leader, in a high-paced technology environment is a merit.

Or maybe a passion about leadership and wants to take the next step.

A positive can-do attitude.

Experience of being part of a customer service department

Strong customer focus and high level of customer service ethics.

Experience of driving a shift to proactive digital customer support channels is of benefit.

Experience and or an interest in, driving change and change management.

Good influencing & communication skills.

Experience of working in software and knowledge of methodologies and implementation.

Experience from Audit and or Accounting is a merit.


The offer
Working in a global and solid company but still have a major impact at the local office. Being part of an exciting journey and in an industry with big changes ahead. Competitive benefits and terms. Great visibility and a part of the Scandinavian development organisation. You will work in a team of dedicated, professional and nice colleagues. The office is known for its positive atmosphere and located centrally in new offices at Helsfyr, Oslo.
About the employer
Wolters Kluwer Norway is part of the Dutch software corporation Wolters Kluwer. The company is one of the world-leading vendors of software and service within the audit, accounting, law and medicine industries.Wolters Kluwer is represented in 40 countries worldwide and employs more than 19.000 globally. Wolters Kluwer Norway is a part of the Scandinavian organization with offices in Gothenburg, Stockholm, Svendborg, Aarhus, Copenhagen and Oslo.",57,66,7,Customer Service,Customer Service - Generalist,114,EMEA,Norway,NOR-Oslo-Oestensjoeveien 14,2021-01-15 00:00:00,7,2.515723,5.2,230
5,Consultant (Permanent/Full Time - Implementation; Auditor; Trainer),"Professional Services Consultant – TeamMate® 

Our Professional Services Consultants assist in preparing clients for go-live of TeamMate solutions both onsite at the customer's location and remotely. In addition, the consultant will gain significant product knowledge allowing them to communicate this to clients, and work with best methods to incorporate TeamMate solutions into client's business activities. Travel domestically up to 30%. (Remote delivery model currently used; post the pandemic).

The TeamMate® Consultant will:

Act as an internal consultant to our customers regarding all TeamMate software products.

Provide consultation and training support to clients in relation to TeamMate product usage.

Support more senior team members in delivering services to customers, including documentation development.

Become an expert at virtual delivery of a variety of standard training services for our TeamMate+ and TeamMate Analytics products.


Primary responsibilities: 

Deliver standard training to the client's department ""Champion(s)"" on how to update the various TeamMate features, including reports.

Support other consultants in effectively analyzing client requirements, configuring, and providing on-site and/or remote consulting to help the client adapt their current methodology, including best practices, to integrate with the TeamMate product offerings.

Troubleshoot and resolve basic implementation issues and recommend corrective solutions and alternatives.

Assist with internal projects such as the creation and maintenance of training materials as needed.

Educate end users on how to use the solution(s) for business activities, including general and specific user functionality for all implemented TeamMate products and features, including risk assessment, audit project planning and execution, report generation, and monitoring and follow up of issues, recommendations, and action plans.

Develop an understanding of Wolters Kluwer, Wolters Kluwer Tax and Accounting, and TeamMate, business initiatives.

Develop an understanding of how the TeamMate offerings fit into the client business - now and in the future.

Professionally and effectively engage with client employees and other TeamMate staff.

Perform all administrative and management tasks necessary for the effective management of the Professional Services organization.

Perform special, or other, projects as assigned.


Minimum Qualifications:

Bachelor's degree in Business Administration, Accounting, Management Information Systems, etc., plus a minimum of 2 years related work experience; if no degree, a minimum of 5 years equivalent related work experience.

Experience facilitating and presenting to medium-sized groups.

Experience with virtual training/meeting tools.

Excellent oral and written communication skills, including the development of customer-facing deliverables.


Preferred Qualifications:

Experience with Internal/External Audit, either as a consultant or a practitioner

Experience with ICFR, risk management, performance audit, compliance, and/or data analytics, either as a consultant or a practitioner

Experience with TeamMate software

Consulting experience

Software implementation experience

Training experience

Documentation experience

French or Spanish language skills an asset

Travel - up to 30% (post the pandemic)",36,1225,7,Consulting/Professional Services,Consulting/Professional Services - Generalist,80,Americas,United States of America,USA-GA-Kennesaw-Chastain Meadows Ct NW,2021-11-18 00:00:00,5,6.809003,4.2,153
6,Senior Consultant - Software Implementation,"Professional Services Senior Consultant – TeamMate® (P3)

The TeamMate® Consultant will:
Act as an internal consultant to our customers regarding all TeamMate software products, becoming a ""trusted advisor"" for the customer's auditing, and related, activities.
Provide expert internal audit consultation and training support to clients in relation to TeamMate product usage.
Supply our customers with expert evaluation and best practices based on an examination of their business process and cycles.
Configure TeamMate products and advise on the customer's current methodology and best practices to optimize value from the TeamMate offering.

Primary responsibilities: 
Engage with the client to determine existing business needs with a focus on how TeamMate can best accommodate their desired methodology, needs, adjustments, etc.
Educate the client's department ""Champion(s)"" to update the various TeamMate features, including reports.
Effectively analyze client requirements and provide on-site and/or remote consulting to help the client adapt their current methodology, including best practices, to integrate with the TeamMate product offerings.
Troubleshoot and resolve any implementation issues and recommend corrective solutions and alternatives.
Identify risks, assess potential impact, and consult with client to prepare a mitigation plan associated with configuration and implementation of the TeamMate product offerings.
Educate end users on how to use the solution for business activities, including general and specific user functionality for all implemented TM products and features, including report generation, query writing, searching, and monitoring and follow up of issues, recommendations and action plans.
Develop a deep understanding of Wolters Kluwer, Wolters Kluwer Tax and Accounting, and TeamMate business initiatives.
Develop a deep understanding of how the TeamMate offerings fit into the client business - now and in the future.
Professionally and effectively engage with client employees.
Perform all administrative and management tasks necessary for the effective management of the Professional Services organization.
Perform special projects as assigned.

Minimum Qualifications:
Bachelor's degree in Business Administration, Accounting, Management Information Systems, etc., plus 3 years related work experience; if no degree, 5 years equivalent related work experience.
Experience facilitating and presenting to medium-sized groups.
Excellent oral and written communication skills, including the development of customer-facing deliverables

Preferred Qualifications:
Consulting experience
Software implementation experience
Training experience
Documentation experience
Spanish language skills in a business environment an asset

Travel - up to 50%",123,1225,7,Consulting/Professional Services,Consulting/Professional Services - Generalist,81,Americas,United States of America,USA-FL-Tampa-West Boy Scout Blvd,2021-01-24 00:00:00,6,1.39977,6.4,189
7,Schulungsreferent juristische Softwarelösungen / Client Trainer (m/w/d) - Großraum Frankfurt - Home Office basiert,"Über Wolters Kluwer

Als weltweiter Anbieter von Fachinformationen, Software und Services sorgt Wolters Kluwer dafür, dass Experten besser arbeiten und komplexe Probleme in einer sich ständig verändernden Welt überzeugt und sicher lösen können.  Wir setzen uns tagtäglich für den Erfolg von Menschen und Unternehmen ein, die wir in über 180 Ländern betreuen.  Jeden Tag sehen sich unsere Kunden mit wichtigen Entscheidungen konfrontiert, die sich auf das Leben von Millionen von Menschen auswirken und unsere Gesellschaft nachhaltig prägen.Wir sind stolz auf unsere über 180-jährige Geschichte und unser globales Kundennetzwerk.  Wir werden dafür geschätzt, unsere Kunden dabei zu unterstützen, ihre Potenziale zu verwirklichen und dort nachhaltige Wirkung zu erzielen, wenn es wirklich darauf ankommt.

Ihre Aufgaben

Sie führen eigenverantwortlich Schulungen / Trainings / Coachings für unsere juristischen Softwarelösungen (u.a. AnNoText) bei unseren Kunden im Großraum Frankfurt durch

Als Ansprechpartner:in für unsere Kunden tragen Sie maßgeblich zur Kundenbindung und zum Ausbau unserer erfolgreichen und beständigen Kundenbeziehungen bei

Sie beraten unsere Kunden in der Anwendung der Software und unterstützen die Nutzer:innen als kompetenter Ansprechpartner:in während und nach den Schulungen

Sie arbeiten eng mit den Kolleg:innen aus den Bereichen Customer Care und Produktmanagement/-service zusammen



Ihr Profil

Sie haben idealerweise ein juristisches Studium oder eine vergleichbare Ausbildung (zur/zum Rechtsanwaltsfachangestellten / Rechtsfachwirt:in) absolviert und kennen die Abläufe in der juristischen Praxis

Sie können sich für (juristische) Software begeistern und verfügen über didaktische Kompetenz/Erfahrung, idealerweise erste Einsätze als Dozent:in oder Trainer:in

Im Idealfall haben Sie unsere Software bereits als Anwender:in kennen gelernt

Sie zeichnen sich durch eine überdurchschnittliche Beratungskompetenz, Kunden- und Serviceorientierung sowie Überzeugungskraft aus

Durch Ihre ausgeprägte Empathie, Flexibilität und rhetorische Kompetenz können Sie schnell sich auf unterschiedliche Kundenbedürfnisse einstellen

Sie haben einen hohen Qualitätsanspruch an sich und Ihre Leistungen und fühlen sich in einem dynamischen Umfeld wohl

Freude an kontinuierlicher persönlicher Weiterentwicklung

Sie bringen eine Reisebereitschaft für 3 Tage/Woche mit und wohnen in Frankfurt a.M. oder in der nahen Umgebung

Unser Angebot
Eine verantwortungsvolle Aufgabe, interessante Projekte, innovative Produkte und die Chance, die digitale Transformation unseres Unternehmens aktiv mitzugestalten

Ein engagiertes, professionelles Team mit tollen Kolleg:innen in einem weltweit erfolgreichen Unternehmen

Eine offene und informelle Unternehmenskultur mit Freiraum und Flexibilität sowie eine moderne und angenehme Arbeitsumgebung

Flexible Arbeitszeitmodelle, Firmenwagen, 30 Tage Urlaub, Firmenevents, betriebliche Altersvorsorge, Volunteer’s Day, E-Learning über LinkedIn und Gesundheitsangebote

Die Möglichkeit aus dem Home Office zu arbeiten

Ihr Weg zu uns

Bewerben Sie sich jetzt unter Angabe Ihres frühestmöglichen Eintrittstermins und Ihrer Gehaltsvorstellung auf Ihren neuen Job.
Ganz einfach mit einem Klick auf den Bewerben-Button - wir freuen uns schon auf Sie!

Ihre Ansprechpartnerin: Pushpa Linke
Senior Recruiter 
Tel.: 02233 3760 7976",153,1241,6,Consulting/Professional Services,Client Training,72,EMEA,Germany,DEU-Huerth-Wolters Kluwer Str,2022-02-22 00:00:00,5,5.140187,3.1,179
8,Product Software Engineer-3,"Required Qualifications:
Bachelor's degree (B.E/ B Tech.  Computer Science) from a four-year college or university, or equivalent, Masters a plus.

Minimum 3-7 years of work experience
Experience will Full stack -development (NodeJS, HTML5, Angular, React, Typescript )
Proficiency with web development standards and best practices including JavaScript, HTML, jQuery, CSS.
Familiarity with development of Rest APIs Familiarity with Java application development landscape.
Experience using an ORM framework such as Entity Framework, NHibernate, etc.
Good understanding of Design patterns and OOAD.
Experience in writing unit tests.
Familiarity with scrum Agile method of work High degree of interface analysis and design skills with a thorough understanding on designing for reuse
Strong attention to detail with excellent problem-solving skills
Proven track record of working with external customers to understand their needs and translate into technical solutions
Desire and ability to thrive in a distributed technical environment while working on multiple projects simultaneously
Passionate about latest technology trends with a strong desire for innovation
Self-motivated and self-managing and able to work independently 

Preferred Qualifications
Good knowledge of standard web (SOAP) and Web API
Familiarity with DevOps landscape and scripting a definite plus
Familiarity working in Cloud environment a definite plus.",179,663,1,Technology,Software Engineering - Products,316,APAC,India,IND-Pune-Kalyani Nagar,2019-12-09 00:00:00,5,9.634551,5.8,129
9,Senior Software Test Automation Engineer,"Functional:
Test planning & Design, Test Execution and Reporting. 
Understand the system design in order to contribute to the development of the project and ensure the quality of the result. Identify potential risks and seek testing approaches to manage that risk. 
Analyze defects with the goal of being isolated and reproducible, and clearly document issues and bugs. Work towards debugging and fixing defects, retesting and resolving open issues.
Work closely with developers, leads, CSR to understand underlying architecture and code in order to develop test strategies across different layers of the application.
Communicate and report out the testing efforts and technical aspects of projects 
Automation:
Design and implementation of the test automation strategy for multiple product development teams. Assist in doing code reviews.
Mentor and coach technical team members.
Hands-on contributor to build and enhance solutions to complex technical problems advancing test automation, continuous testing and continuous integration capabilities for product development teams.
Ability to create scripts. Specifically developing functions, adding control flow logic, loops etc. This code must be reusable, maintainable code.
Work side-by-side with developers and functional testers to create test specifications from user stories and transform selected tests into an automated test suite.
Translating existing manual regression test cases into automated tests.
Building and executing tests to run on multiple environments using multiple browsers.
Analyzing existing systems to find areas for improvement.
Evolving automated test framework to achieve higher test throughout, with increased accessibility and test execution flexibility.
Perform other non-specified tasks as assigned.

Essential Qualifications:
Bachelor’s degree or equivalent work experience.
6+ years of development/ test automation experience, preferably with complex web applications.
Advanced technical troubleshooting, diagnosing and problem solving skills.
Strong test automation skills – C#, etc.
Proficiency in .NET and J2EE technology platforms.
Proficiency using MS Office productivity packages – Word, Excel, and Outlook.
Demonstrated experience with Web Browser Technologies, e.g. HTML, HTTP
Solid understanding of object oriented programming, design and debugging skills.
Proven experience developing automated test framework, e.g. Visual Studio’s coded UI, unit tests.
Must be self-motivated and take initiative in performing tasks and growing skills and knowledge.
Preferred Qualifications: 
Familiarity with software build and delivery process.
Familiarity with Continuous Integration concepts and processes.
Agile Practices - Scrum, SAFe
Defect tracking tools - Azure DevOps/Jira/TFS",175,952,7,Technology,Software Test Automation,378,APAC,India,IND-Pune-IndiQube Orchid,2021-12-16 00:00:00,6,5.555555,6,266
